CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,TotalSpend,GroupId,GroupMemberId,Deck,RoomNum,RoomSide,GroupSize,HomePlanet_0.0,HomePlanet_1.0,HomePlanet_2.0,Destination_0.0,Destination_1.0,Destination_2.0
0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1,1.0,0.0,0.0,1,False,True,False,True,False,False
0.0,24.0,0.0,109.0,9.0,25.0,549.0,44.0,1,736.0,2,1,5.0,0.0,1.0,1,True,False,False,True,False,False
0.0,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,0,10383.0,3,1,0.0,0.0,1.0,2,False,True,False,True,False,False
0.0,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,0,5176.0,3,2,0.0,0.0,1.0,2,False,True,False,True,False,False
0.0,16.0,0.0,303.0,70.0,151.0,565.0,2.0,1,1091.0,4,1,5.0,1.0,1.0,1,True,False,False,True,False,False
0.0,44.0,0.0,0.0,483.0,0.0,291.0,0.0,1,774.0,5,1,5.0,0.0,0.0,1,True,False,False,False,True,False
0.0,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,1,1584.0,6,1,5.0,2.0,1.0,2,True,False,False,True,False,False
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,6,2,6.0,0.0,1.0,2,True,False,False,True,False,False
0.0,35.0,0.0,0.0,785.0,17.0,216.0,0.0,1,1018.0,7,1,5.0,3.0,1.0,1,True,False,False,True,False,False
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1,1.0,1.0,0.0,3,False,True,False,False,False,True
1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,2,1.0,1.0,0.0,3,False,True,False,True,False,False
0.0,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,1,8157.0,8,3,1.0,1.0,0.0,3,False,True,False,False,False,True
0.0,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,1,1309.0,9,1,5.0,1.0,0.0,1,False,False,True,True,False,False
0.0,48.0,0.0,719.0,1.0,65.0,0.0,24.0,0,809.0,10,1,6.0,1.0,1.0,1,True,False,False,True,False,False
0.0,28.0,0.0,8.0,974.0,12.0,2.0,7.0,1,1003.0,11,1,5.0,2.0,0.0,1,True,False,False,True,False,False
0.0,0.0,0.0,32.0,0.0,876.0,0.0,0.0,0,908.0,12,1,0.0,0.0,0.0,1,True,False,False,True,False,False
0.0,27.0,0.0,1286.0,122.0,508.6583850931677,0.0,0.0,0,1916.6583850931677,14,1,5.0,3.0,0.0,1,False,False,True,False,False,True
0.0,24.0,0.0,0.0,1.0,0.0,0.0,637.0,0,638.0,15,1,5.0,4.0,0.0,1,True,False,False,False,False,True
1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,16,1,5.0,5.0,0.0,1,False,False,True,True,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,17,1,6.0,0.0,0.0,2,True,False,False,True,False,False
0.0,14.0,0.0,412.0,0.0,1.0,0.0,679.0,0,1092.0,17,2,5.0,6.0,0.0,2,True,False,False,False,False,True
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20,1,4.0,0.0,1.0,6,True,False,False,True,False,False
1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20,2,4.0,0.0,1.0,6,True,False,False,False,False,True
1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20,3,4.0,0.0,1.0,6,True,False,False,False,False,True
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20,4,4.0,0.0,1.0,6,True,False,False,True,False,False
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20,5,4.0,0.0,1.0,6,True,False,False,False,True,False
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20,6,4.0,0.0,1.0,6,True,False,False,True,False,False
0.0,21.0,0.0,980.0,2.0,69.0,0.0,0.0,0,1051.0,22,1,3.0,0.0,0.0,1,False,False,True,True,False,False
1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,24,1,2.0,2.0,1.0,1,False,True,False,True,False,False
0.0,15.0,0.0,0.0,225.0,0.0,998.0,0.0,0,1223.0,25,1,5.0,6.0,1.0,1,True,False,False,True,False,False
0.0,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,0,7861.0,26,1,2.0,0.0,0.0,1,False,True,False,False,False,True
0.0,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,0,1309.0,28,1,5.0,8.0,0.0,1,False,False,True,True,False,False
0.0,32.0,0.0,0.0,850.0,81.0,437.0,453.0,0,1821.0,30,1,6.0,4.0,1.0,1,True,False,False,True,False,False
0.0,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,1,2854.0,31,1,5.0,9.0,0.0,3,False,False,True,True,False,False
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,31,2,5.0,9.0,0.0,3,False,False,True,True,False,False
0.0,20.0,0.0,651.6323679727427,0.0,1750.0,990.0,0.0,1,3391.632367972743,31,3,5.0,9.0,0.0,3,False,False,True,True,False,False
1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,34,1,3.0,1.0,1.0,1,False,True,False,False,False,True
0.0,23.0,0.0,784.0,964.0,0.0,951.0,0.0,0,2699.0,35,1,3.0,1.0,0.0,1,False,False,True,False,False,True
0.0,15.0,0.0,0.0,492.0,48.0,20.0,401.0,0,961.0,36,1,5.0,8.0,1.0,1,True,False,False,False,False,True
0.0,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,0,3355.0,38,1,5.0,10.0,1.0,1,True,False,False,False,False,True
1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,39,1,6.0,1.0,0.0,1,True,False,False,False,False,True
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,41,1,6.0,2.0,0.0,1,True,False,False,True,False,False
0.0,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,0,3575.0,43,1,1.0,3.0,0.0,1,False,True,False,True,False,False
1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,44,1,6.0,3.0,0.0,3,True,False,False,True,False,False
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,44,2,6.0,3.0,0.0,3,True,False,False,False,False,True
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,44,3,6.0,3.0,0.0,3,True,False,False,False,True,False
0.0,21.0,0.0,970.0,0.0,180.0,0.0,64.0,0,1214.0,45,1,5.0,10.0,0.0,2,False,False,True,True,False,False
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,45,2,5.0,10.0,0.0,2,False,False,True,True,False,False
0.0,35.0,0.0,790.0,0.0,0.0,831.0706214689266,0.0,0,1621.0706214689267,50,1,4.0,1.0,1.0,1,True,False,False,False,False,True
0.0,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,0,1618.0,51,1,4.0,2.0,1.0,1,True,False,False,True,False,False
0.0,22.0,0.0,4.0,0.0,2.0,4683.0,0.0,0,4689.0,52,1,6.0,6.0,1.0,1,True,False,False,True,False,False
0.0,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,1,1939.0,53,1,5.0,11.0,1.0,1,True,False,False,True,False,False
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,56,1,0.0,1.0,1.0,3,False,True,False,True,False,False
1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,56,2,0.0,1.0,1.0,3,False,True,False,True,False,False
0.0,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,1,4547.0,56,3,0.0,1.0,1.0,3,False,True,False,True,False,False
1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,58,1,6.0,7.0,1.0,1,True,False,False,False,True,False
0.0,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,0,2667.0,61,1,5.0,12.0,1.0,1,True,False,False,True,False,False
0.0,62.0,0.0,0.0,592.0,0.0,17.0,25.0,0,634.0,62,1,5.0,13.0,1.0,1,True,False,False,True,False,False
